language,dialect,accent,source,original_text,standard_persian_translation,english_translation,dezfuli_translation,dezfuli_transliteration,lori_translation,lori_transliteration,tonekaboni_translation,tonekaboni_transliteration,semnani_translation,semnani_transliteration,southern_kurdish_kalhori_translation,southern_kurdish_kalhori_transliteration,zoroastrian_yazdi_transliteration
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,اول اینکه بوی بدی داشت دوم اینکه به همه چیز میخور به جز رست بیف جوری که منو یاد گوشت آب پز داخل دیزی انداخت بسیار خیس بود نان خشک و بد مزه‌ای داشت لطفا تناسب مایعات رو رعایت کنید احتمالا آخرین بار هست که سفارش از اینجا میدم,اول اینکه بوی بدی داشت دوم اینکه به همه چیز میخور به جز رست بیف جوری که منو یاد گوشت آب پز داخل دیزی انداخت بسیار خیس بود نان خشک و بد مزه‌ای داشت لطفا تناسب مایعات رو رعایت کنید احتمالا آخرین بار هست که سفارش از اینجا میدم,"First of all, it had a bad smell. Secondly, it touched everything except the roast beef, in a way that reminded me of boiled meat in a stew. It was very wet and had a dry and unpleasant bread. Please maintain the balance of liquids; this is probably the last time I order from here.",اول اين كه بو بدی بداد بعدشم به همه چی بُرد الا رست بیف. مُنِ يادِ گوشت آب پز مِن ديزی بِس. خیلیِ فيس بيد. نونش راق بيد و بد مِزِه. زیاد او نریزید مِنِش. بعد ايان اَ ايچون دَ گِ چی نَمخوام,avāl inke boye badi dāsht badesham be hame chi bord elā rostbif. mone yāde gosht āb paz men dizi bes. kheyli fes bid. nonesh rāgh bid va bad meze. ziyād ow narizid menesh. bade iyān a ichon da ge chi namkhām,اولش یه که بد بو بی دومش یه که و هرچه ایخه غیر رست بیف طری که مونه ویاد گوشت من اوگوشت انداخت. خیلی اوکی بی و نونشم خشک و بد طوم بی. نسبت اوشه حفظ کنین. بار اخره که اینجو سفارش ایدم,avalesh ye ke bad bu bi dovomesh ye ke va har che ikha gheyre rostbif. Tari ke mone yāde gushte mene owgusht endakht. Kheyli owaki bi va nunesham khoshko bad tum bi. Nesbat owshe hefz konin. Bāre ākhareh ke injo serāresh idom,اَوَل این‌که بویِ بَدی دنه با، دُوُم این‌که هَمه چیِه خارنه با جُز رُست‌بیفه که مِره یادِ گوشتِ آب‌پَزِ دیزی مین بِن‌داخته؛ بسیار خیس با، نان خُشک و بَد‌مَزه‌ای با. لُطفاً تَناسُبِ مایعات رو رعایت اَکونین؛ احتمالاً آخَرین باره که ایجه سفارش دنُم.,"aval inke boye badi dane bā dovom inke hame chie khārne bā joz rost bife ke mere yade gushte ābpaze dizie miyan bendakhte besyār khis bā, nān khoshko bad mazei bā, lotfan tanasobe māyeāte roāyat akonin ehtemālan akharin bare ke ije sefāresh danom",اُوٍّل اِن کو بویی بَدی دٍردِش، دویُّم اٍن کو بٍه هَمَه چی مُخورد، غِیری رَست بیف، جوری کو گوشتی آب پِزی کو دٍلَه دیزین وٍندِش خِیلی خُستَه بِبابا، نونی خُشک و بَدمَزِه‌ای دٍردِش. لُطفَن اٍندازِه‌ای مایِعاتی رٍعایٍت هاکٍرین. اٍحتٍمالَن آخٍرین دَفَه‌یَه کو اٍنجو چی مارون.,"ovvel en ko buyi badi derdesh, doyyom en ko be hama chi mokhurd, gheyri rast bif, juri ko gushti āb pezi ko dela dizin vendesh kheyli khosta bebābā, nuni khoshk o badmazeyi derdesh. lotfan endāzei māyeāti reāyet hākerin. ehtemālan ākherin dafaya ko enju chi mārun.",ئه‌وەڵ یه کە بوی گه‌نێگ دیاد، دۆوەم یه کە وە گەچەشت خواردیا جز ڕۆست بیف، کە کەفتەمه یادە گوشتە ئاوپزە ناو ئاگوشت، فره خیس بی، نانی خۆشک و بدمزه بی. لطفی بکەین ئەندازەی مایعاتو تاناسوبی ڕۆعایت بکەین، دی بارە ئاخەره وە ئیره سەفارش دەم,"awal ya ke buy ganig diyād, dowom ya ke wa gechesht khwardiā joz rost bif, ke kaftema yāde gushte āwpaze nāw āwgush, fera khis bi, nani khoshko badmazza bi. Lotfi bekeyn andāzey māyeātu tanāsowi roāyat bekeyn di bāre akhera wa ira sefāresh dam","aval moyege buze badish dārt dovom moyege behmachia kha bejoz rostbif juri ge ma she vire gushte ow paze tu diza va kheyli khis bo nune hoshk o badmazeish dārt lotfan tanāsobe māye‘āt ro re‘āyat okri ahtemālan ākharin karatian ke sefāresh az muyete "
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,پَ چرا نیمییَیْ؟,پس چرا نمی‌آیی؟,So why aren't you coming?,پَ اَچِ نَميايی؟,pa ache namyāei,سی چه نیی,si che niyey,پس چِرا نیانی؟,pas cherā niyāni?,پَس چٍرَه مٍنییا؟,pas chera meniyā,په ئەڕا نێتیەی؟,pa arrā nyatiey?,pa chera nāye
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,ما وَم میَیم,ما هم می‌آییم,We are coming too.,اُمونَم بِمياييم,omonam bemyāeim,ما هم اییم,mā ham iyeym,اَما هم آنیم.,amā ham ānim,هَما هَم مِن.,hamā ham men.,ئیمەیش تێیەم,imeish tieym,mā jie tāyim
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,دِ جَل باش,عجله کن,Hurry up,دِ يَلا,de yalā,زی وو,zi vu,عَجَله هَکون.,ajale hakon,جَلدی با.,jaldi bā.,زوو که,zu ka,zibo
Persian,"Persian, Iranian",Isfahani,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,بولونی پَ کوجای پَ؟,پس کجایی عزیزم؟,"So where are you, my dear?",پَ كِجايی كَسونُم؟,pa kejāei kasonom,په کوونی عزیزوم,pa kuveni azizom,پس کُجه دری عزیزُم؟,pas koje dari azizom?,پَس کُجَه دَرِه عَزیزی مو؟,pas koja dare azizi mo,په هایده کوو عزیزەکم؟,pa hāyda ku azizakam?,koyāyi azize delom
Persian,"Persian, Iranian",Isfahani,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,بیا بریم ناهار بخوریم. وای نه یه زا آلاشغال خوردم تو دلم انقلابه.,بیا برویم ناهار بخوریم. وای نه، یک چیز آشغال خوردم، دلم به‌هم ریخته.,"Let's go have lunch. Oh no, I ate something trashy, my stomach is upset.",دِ بيا روييم نهار خورييم. وِيلَتِه چِ فِگِری خُوَردَم، دِلُم شيوِس,"de biyā roim nahār khowarim. veylateh che fegeri khowardam, delom shives",بیو بریم چاس بخریم. نه یچی آشغالی خردمه دلمه ایچی ونه,biow berim chās bekharim. na yechi āshghāli khardameh delemeh ichi veneh,بیا بیشیم ناهار بوخاریم. وای نه، یه چی آشغال بوخاردم، می دِل بِهَم بِریخته.,"biya bishim nāhār bokhārim. vay na, ye chi āshghāl bokhārdom, mi del beham berikhte. ",بیا بَشین ناهار بَخورین، وای، نَه، ای چی‌ئی آشغالی بُخوردَن، مو دٍل هُم ریتَه‌یَه.,"biyā bashin nāhār bakhurin, vāy, na, i chii āshghāli bokhurdan, mo del hom ritaya.",باو بچیم ناهار بخوێم. آی نه، یەی چەشتە گه‌نێگ خواردەمە، دڵەم شیویاسە یەک,"bāw bechim nāhār bkhweym. āy na, yey cheshte ganig khwardema, delem shiwiyāsa yak.",bio beshim chom vakhrim. vāy na ya chome āshghāli mkharta delme gale hama
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,منا تو آ حسن,من و تو و حسن,"Me, you, and Hassan.",مُنُ تونو حسن,mono tono hasan,مو و تو و حسن,mo wo to wo hasan,مِنو تو و حَسَن,meno to o hasan,اَ وُ تو وُ حَسَن.,a vo to vo hasan.,منو تۆنو حەسەن,meno tono hasan,mao to o Hasan
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,گلا بلبلا سنبل,گل و بلبل و سنبل,"Flower, Nightingale, and Tulip",گل و بلبل و سنبل,golo bolbolo sonbol,گل و بلبل و سنبل,golo bolbolo sonbol,گُلو بُلبُلو سُنبُل,golo bolbolo sonbol,گُل و بُلبُل و سُنبُل.,gol o bolbol o sonbol.,گۆڵۆ بڵبڵۆ سۆمۆڵ,golu belbelu semmol,gulo bolbolo sonbol
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,۵ آ ۴ آ ۳,۵+۴+۳,5+4+3,۵+۴+۳,5+4+3,پنج و چار و سه ریک,pango chāro se riak,پَنج به‌علاوهٔ چار به‌علاوهٔ سِه,panj be alāveye chār be alāweye se,پَنج با چار و هِیرَه.,panj bā chār o heyra.,پەنج بە ئەلاوەی چوار بە ئەلاوەی سێ,panj be alāwey chwār be alāwey se,panj o chār o se
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,دِ پَ چرا نیمیای؟,آخه پس چرا نمی‌آیی؟,Then why don't you come?,اوخِی پَ اَچِ نَومِيیَ,okhey pa ache naowmeya,په سیچه نیی,pa siche niyey,چِرا نِیانی پس؟,cherā neyāni pas?,آخٍه پَس چٍرَه مٍنییا؟,ākhe pas chera meniyā,یه په ئەڕا نێتیەی؟,ya pa arrā nyatiey?,ākhe cherā nāyi
Persian,"Persian, Iranian",Isfahani,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,کمرم شیت شد,کمرم داغون شد.,My back is in pain.,قَلُم بُرِس,ghalom bores,کمرم اشکست,kamarom eshkast,می کَمَر داغان بابا.,mi kamar dāghān bābā,مو کَمٍر داغُن وابا.,mo kamer dāghon vābā.,کەمەرەم شێکیا,kamarem shekyā,kmarom az beyn sho
Persian,"Persian, Iranian",Shirazi,Manual,ای کارو که اقد اسم اسم کردن نداره که,این کار که انقدر به فس فس کردن و دیر جنبیدن نیاز ندارد.,This task does not require as much hesitation and delayed action.,پَ اَچِ اَقدَر فس فسِ كُنی,pa ache aghdar fes fese koni,نیخو این کاره فس فس کنی و معطل کنی,nikho in kāre fes fes koni o ma'tal koni,این کار خُو اندی فِس‌فِس کَردن و دیر جُنبیدن نیاز نِداره.,in kar khā andi fes fes kardano dir jonbidan niāz nedāre,اٍن کاری کو اٍنقٍد چُس چُس کٍردییُن و دیر بٍجُنبییُن نٍدارِه.,en kāri ko enqed chos chos kerdiyon o dir bejonbiyon nedāre.,ئی کارە ئەقوەره وە فس فس کەردنو دێر جۆمین نیازێ نێرێ,i kāra aqwara wa fes fes kerdeno dir jomin niāzi neyre,mo kāre ke mokade be pes pes kārtvun o kineham jomnāzvun nadāra
Persian,"Persian, Iranian",Shirazi,Manual,یه بار دیگه ایجوری بشه می‌خوابم تو خرش,یک بار دیگر این‌طور بشود، با او دعوا می‌کنم.,"If this happens again, I will argue with him.",اَ يَرَ دِگِ ايطور بييِس پِيِش دعوا كُنُم," aa yara dege itor biyes peyesh daavā konom",ای یه دفعه دیه ایچنو ووبی دعواش ایکنم,ay ye dafe diyeh icheno vobi davāsh ikonom,یه‌باره دیگه ایتا بابا وی هَمراه دعوا کانُم.,yebāre dige itā bābā vi hamrā davā kanom,اینی دَفَه اٍنجور بَبو، ژو رَه دَعوا ماکٍرون.,"ini dafa enjur babu, zho ra davā mākerun.",یەی دەفعە تەر ئیجو بوود وە گەردی جەنگ کەم,yey dafa ter iju bud wa gardi jang kam,yakarebe mobsare bo khozod davokre
Persian,"Persian, Iranian",Shirazi,Manual,از به خوب بود کم‌پیچ گرفتم.,از بس خوب بود، دل‌پیچه گرفتم.,It was so good that I got a stomachache.,اَ چَن خوب بيد دِلُم شِوِس,a chan khob bid delom sheves,از بی خوب بی کم درد گرفتم,az bas khub bi kom dard gereftom,از بس خوب با، دِل پیچه بِیتُم.,"az bas khub bā, del piche beytom",بَسکی خُوْ با، دٍل پیچَه بِگیتَن.,"baski khow bā, del picha begitan.",ئەقوەره خاس بی، دڵەم شیویاسە وە یەک,"aqwara khās bi, delem shiwiyā wa yak",okadi khib bo delpiche prānte
Persian,"Persian, Iranian",Shirazi,https://shirazculture.blogsky.com/1387/04/24/post-20/,واسهٔ چی ؟,برای چه؟,For what?,سی چِ؟,si che,"سیچه ",sicheh,چه ره ری؟,,چیچی بالا؟,chichi bālā,ئەڕا؟,arrā?,māle chechi
Persian,"Persian, Iranian",Shirazi,https://www.delgarm.com/shirazi-proverb.a242671,ای خودشو با شاخ گاو درانداخته.,با کار/آدم خطرناک درافتاده.,Got involved with a dangerous person.,مِ كار يا شخص خطرناكی دَر اوفتيديِه,me kār yā shakhse khatarnāki dar oftidiyeh,قد یه ادم خطرناکی خرده,qade yeh ādame khatarnāki kherdeh,با کار/آدَمه خَطَرنَک در اَکِتی.,ba kār/ādame khatarnāk dar aketi.,با کاری/ آدَمی خَطٍرناکی دٍکٍچی.,bā kāri/ ādami khaternāki dekechi.,وە گەردە ئاێه‌مە خەتەرناکێگ دەر کەفتیه,wa garde āyeme khatarnākig dar kaftiyā,bā ādame khatarnāki barekāpta
Persian,"Persian, Iranian",Shirazi,https://arash1363.blogfa.com/post/31,خدا دونه خجیجه,خدا داند، خدیجه.,"God knows, Khadijah.",خدا دونِه خجيجه,khodā done khajijeh,خدا ایدونه خدیجه,khoda iduneh khadijeh,خُدا دانه، خَدیجه.,"khodā dāne, khadije",خُدا مٍزُنِه، خَجَّه.,"khodā mezone, khajja.",خۆدا زانێ، خەدیجە.,"khodā zāni, khadija.",khza dāna Khadije
Persian,"Persian, Iranian",Shirazi,Manual,حالو اقدم بشکن بالو بنداز خوب نی,حالا انقدر هم شوخ و شنگ بودن و بگو بخند کردن خوب نیست.,"Now, being so playful and joking around isn't really good.",ايسون هم عَقذَر شَنگولی خوب نی,ison ham aghdar shangoli khob ni,ایقدم نخوبه که هی بگی و بخندی,iqadam nakhubeh ke hey begi o bekhandi,حالا اندی شُخُو‌شَنگ بودن و بگو بِخَند کَردن خوب نِیه.,hala andi shukho shang budan o begu bekhand kardan khub niya,اٍسَه اٍنقٍدَن شوخ و شٍنگ بییُن و بٍگو بٍخَند هاکٍردییُن خُوْ نییَه.,esa enqedan shukh o sheng biyon o begu bekhand hākerdiyon khow niya.,دی ئەقوەرەیش شوخو شێنگ بوون و خه‌نە خه‌نە کەردن خاس نیە,di aqwareish shukho sheng buno khana khana kerden khās niya,ya mokade ji shukh o shang bozvun begu bekhand kārtvun khib nahon
Persian,"Persian, Iranian",Shirazi,Manual,می دمبالت گذشتن؟,مگر کسی دنبالت می‌کند?,Is someone chasing after you?,مَر كسی وَندَ دومات,mar kasi vanda domat,می کسی دین داته,mey kesi din dāteh,مَگه کسی تِره دُنبال اَکوردِه؟,mage kasi tere donbāl akorde?,مٍگَه کٍسی تَه دٍنبالَه کٍرچی؟,mega kesi ta denbāla kerchi,مەگە هیشتەنەسه شوونەت؟,maga hishtenasa shunet?,mage kshomide peya
Persian,"Persian, Iranian",Shirazi,Manual,نون گندم، کم فولادی می‌خواد.,نان گندم برای هضم به شکم (معده) فولادی نیاز دارد.,Wheat bread requires a steel stomach for digestion.,نون گَنُم سی هضمِش گَدِ فولادی مَخو,non ganom si hazmesh gade foladi makho,نون گنم سی هضم کم اهنی ایخو,nun ganom si hazmesh kom āhani ikho,نانِ گَندُمِه هَضم کَردن مِعدهٔ فولادی خَانه.,nāne gandome hazm kardan m'ede fulādi khane,"گُندُمین نون هَضم کٍردییُن، اییَه آسُنین تٍلَه مٍگی. ","gondomin nun hazm kerdiyon, iya āsonin tela megi.",نانە گەنم ئەڕای هەزم مەدەی فولادی توێ,nāne ganem arrāy hazm midey fulādi tuey,nune ganom shekame puladi shāvā
Persian,"Persian, Iranian",Shirazi,Manual,ایا نَم تُک پس نمی‌ده,این شخص خیلی خسیس است.,This person is very stingy.,ای شخص خیلی كَلولَ,i shakhs kheili kalola,و دستش او توک نیکنه - ای ادم مهلی گنسه,i ādam mahli geneseh,ای شَخص خیلی خَسیس هِسِه.,i shakhs kheili khasis hesse.,اٍن خِیلی خَسیسَه.,en kheyli khasisa.,ئی ئاێه‌مە فره ده‌س و شەکە,i āyema fera das wa shaka,mo ādame kheyli gadāon
Semnani,Semnani,Semnani,https://semnani.blogsky.com/,تیژَه کاردی، نَرَه وَرِه رَه بییمیچی.,چاقوی تیز، برای برّة نر آمده است.,A sharp knife has come for the male lamb.,چَقو تيز سی بره نر اومَسَ,chago tizi si bare nar omasa,چاقوی تیز سی بره ی نره,chaquye tiz si barehye nareh,چاقوی تیز، بَره‌ی نَره آماده هِسِه.,"chaghoye tiz, bareye nare āmāde hesse.",تیژَه کاردی، نَرَه وَرِه رَه بییِمیچی.,"tizha kārdi, nara vare ra biyemichi.",چقوی تیژ، ئەڕای کاوەره‌گه هاتیه,"chaquy tizh, arrāy kāweraga hātiya",chaghuye tij māle vereye naron
Semnani,Semnani,Semnani,https://semnani.blogsky.com/,خوشتُنَه بَخُوْ، مَرتُمُنَه تُوْن کَه.,برای خودت بخور، برای مردم بپوش.,"Eat for yourself, dress for others.",سی خودت خُوَر سی مردم پوش,si khodat khowar si mardom poshā,سی خوت بخر سی مردم بپوش,si khot bekhar si mardom bepush,خوشتی‌ره بوخار، مردمِه‌ره دَکون.,"khoshti re bokhār, mardome re dakon. ",خوشتُنَه بَخُوْ، مَرتُمُنَه تُوْن کَه.,"khoshtona bakhow, martomona town ka.",ئەڕای خۆوت بخۆوه، ئەڕای مەردەم بکە وه‌ر,"arrāy khwad bokhowa, arrāy mardem beka war.",māle khod vakho māle mārdom var ko
Semnani,Semnani,Semnani,https://chemaka.blogfa.com/category/7,هوژ بوبا سوفرِ سار کوجه والندِ.,سفرهٔ بابای شما سر کوچه است.,Your father's table is at the corner of the street.,سُفره بويَت سَر كيچَس,sofre boyat sar kichas,سفره بوت سر کیچه ی,sofrehye bowt sare kichahyeh,تی پیره سفره سَرِ کوچه داره.,ti piyare sofre sare kuche dare.,تَه پییِر سُفرَه سَری کیژِه هٍشتَه,ta piyer sofra sari kizhe heshta,سەفرەی باوگ ئیوه ها سەرە کوچه,sefrey bāwge iwa hā sare kucha,sofre babāt tā sare kion
Semnani,Semnani,Semnani,https://www.parsi.wiki/fa/wiki/474709/%D8%AF%D8%B3%D8%AA%D9%88%D8%B1-%D8%B2%D8%A8%D8%A7%D9%86-%DA%AF%D9%88%DB%8C%D8%B4-%D8%B3%D9%85%D9%86%D8%A7%D9%86%DB%8C-%D8%B3%D9%85%D9%86%DB%8C,یان کوفگی چه قشنگی ین,این شکوفه‌ها چه زیبا هستند,These blossoms are so beautiful.,ای شکوفه‌ها چَقذَر قشنگن,i shokofehā chaghzar ghasghangan,ای شکوفیل چق قشنگن,I shokufial cheqa qashangen,این شُکوفه‌شان چه زیبا هِسِن.,in shokofeshan che zibā hessen.,اٍن گوفکی چٍقٍد قَشٍنگییَن.,en gufki cheqed qashengiyan.,ئی گۆڵ‌دەمەیله چه‌نی قەشەنگەن,i guldameyla chani ghashangen,mi gole chekade jevunan
Semnani,Semnani,Semnani,https://www.parsi.wiki/fa/wiki/474709/%D8%AF%D8%B3%D8%AA%D9%88%D8%B1-%D8%B2%D8%A8%D8%A7%D9%86-%DA%AF%D9%88%DB%8C%D8%B4-%D8%B3%D9%85%D9%86%D8%A7%D9%86%DB%8C-%D8%B3%D9%85%D9%86%DB%8C,شَما کی یه,خانهٔ شما,Your home,هوشتون,hosheton,هونتون,hunatun,شیمی خانه,shimi khāne,شٍما کییَه.,shemā kiya.,ماڵ ئیوه,māle iwa,Kse shmā
Semnani,Semnani,Semnani,http://semnanziba.ir/semnan-content/masalha/page/2/,خُدا خری بَدیچی شاخی ژو نَدِچی,خدا خر را دیده که به او شاخ نداده,God has seen the donkey that has not been given horns.,خدا خرُ اِشناخت كه شاخ نداش,khodā kharo eshnākht ke shākh nadāsh,خدا خرو دید و شاخش نداد,khodā kharo did o shākhesh nada,خُدا خَرِه بِدِیِه، اینه شاخ نَده.,khodā khare bedey ine shākh nada,خُدِه خَری بٍدیچی کو شاخی ژو نَدِچِش.,khode khari bedichi ko shākhi zho nadechesh.,خۆدا خەره‌گه دی کە شاخ نیاسه پی,khodā kharaga di ke shākh niyāsa pi,khzā kharshe diza o shākhosh nadāda
Semnani,Semnani,Semnani,https://chemaka.blogfa.com/category/7,مره وچا واش چش,طرف مار را کشته، اما بچه مار را زنده گذاشته.,"The snake was killed, but the baby snake was left alive.",مارِ كُشتَ اما بچشو هَشتِ زِندَ,mār koshta amā bachasho hesht zenda,مارو کشته تیله مارو نهاده,māro koshteh tileh māro nahādeh,طَرَف مَاره بوکُشته، اَما وَچه مَاره زِنده بَنه.,"taraf mare bokushte, ama vache mare zende bana.",مَر بُکُشچِش، مَرَه وَچَه زَندَه واشچِش.,"mar bokoshchesh, mara vacha zanda vāshchesh.",ئاو طەره‌فە ماره‌گه کوشت، ئەما مناڵ ماره‌گه زەنه هیشت,"āw tarafa māraga kosht, amā menāle māraga zena hisht",teraf mārshe khoshta vali vache mārshe zande nāza
Semnani,Semnani,Semnani,https://semnani.blogsky.com/,جنگلی اُشتُر بَِدیچی!!!,جنگلی شتر دیده.,Wild camel seen.,جنگلی که شتر دیدَ,jangali ke shotor dida,جنگلی شتر دیده,jangali shotor dideh,جنگلی شُتُر بِدیه.,jangali shotor bediya.,جَنگٍلی، اُشتُر بٍدیچی.,"jangeli, oshtor bedichi.",جەنگەلی شوتور دیاس,jangali shotor diyās,jangali oshtorshe diza
Semnani,Semnani,Semnani,https://semnani.blogsky.com/,زَِمَِستُنی چَش کورَه.,چشم زمستان کور است.,The eye of winter is blind.,تیِ زمسّون كورَ,tie zemeson kora,تیی زمسون کوره,tiyey zemesun kureh,زِمِستانه چِشم کوره.,zemestāne cheshm kure,زٍمٍستُنی چَش کورَه.,zemestoni chash kura.,چاو زەمسان کوڕە,chāwe zemsān kura,chame viāsun kuron
Semnani,Semnani,Semnani,https://semnani.blogsky.com/,رووآ بُراق کَِرچِش.,گربه را بُراق کرده.,The cat has been brushed.,گربَنَ لرزُندِش,gorbana larzondesh,گلوه تشی کرده,gulueh tashi kerdeh,پیچایه بُراغ اَکوردِه.,pichāye boragh akorde,روئِن بُراق کٍرچی.,ruen borāq kerchi.,پەشی‌یه‌گه بۆڕاغ کەردیه,peshiyaga burāgh kerdiya,gorbasha borāqe karta
Unclassified,Dezfuli,Dezfuli,Manual,صِدقِ سرت عيبی ندارَ,فدا سرت. عیبی نداره.,You're worth it. It's okay.,صِدقِ سرت عيبی ندارَ,sedghe saret eybi nadāra,و جهنم فدی سرت,va jahanam fadey saret,تی سَرِ فِدا، عِیب نَداره.,"ti sare fedā, eb nedāre",فٍدایی تَه سَری، عِیبی نٍدارِه.,"fedāyi ta sari, eybi nedāre.",خڕە سەرەت. ئەیبیگ نێرێ,kherre saret. eybig neyri,pede sarod yākish nahen
Unclassified,Dezfuli,Dezfuli,Manual,"پِتِش چَقدَر تَپُسَ لُواش لِف قين عنترِن "," دماغش چقدر پهنه. لباش شبیه پشت عنترن.",How wide is his brain. His lips are similar to the back of a donkey.,"پِتِش چَقدَر تَپُسَ لُواش لِف قين عنترِن ",petesh chaghdar taposa lowāsh lef ghin antaran,پوزش چق پهنه لولش می کون عنتره,puzesh cheqa pahneh gowalesh mey kune antareh,اینه دِماغ چَندی گَته. اینه لَب خُوده ميمونه موس.,ine demāgh chandi gata. ine lab khode mimune mus,ژو وٍنییَه چٍقٍدَه پَهنِه، ژو لُوْشِه عَنتٍرین کینین وارییَن.,"zho veniya cheqeda pahne, zho lowshe anterin kinin vāriyan.",لوتی چه‌نی سڕە. دەمی مه‌نیده قەنە ئنتەر,luti chani serra. Dami manida qene antar.,puzosh chekade pechon. loposh rowe poshte antaron.
Unclassified,Dezfuli,Dezfuli,Manual,"مَرِسی عَ قين فيل اُفتيدَ  "," انگار از پشت فیل افتاده.",It seems like he fell off an elephant.,"مَرِسی عَ قين فيل اُفتيدَ  ",maresi a ghin fil oftida,انگار از پشت فیل افتایه,engār az poshte fil oftāyeh,اِنگار از فیل موس دَکِته.,engār az file kun dakete,اٍنگار کو فیلی کینین پی بٍکٍچی.,engār ko fili kinin pi bekechi.,چۆمانی وە قەنە فیل کەفتیه,chumāni wa qene fil kaftiya,angār ge az poshte pile kāpta
Unclassified,Dezfuli,Dezfuli,Manual,"تو نو خدا فَرما هوُش "," تو رو خدا بفرما داخل خونه.","Please, come inside the house.","تو نو خدا فَرما هوُش ",to no khodā farmā hosh,تن خدا بیو من هونه,tone khodā biyo men huneh,تورو خُدا بفرمایین خانه دِلِه.,toro khoda befarmāyin khāne dele.,تَه بٍه خُدِه بَفٍرمین دَنین کییَه.,ta be khode bafermin danin kiya.,تۆنو خۆدا باینه ناو ماڵ,tono khodā bāyna nāw māl,to ra be khza beparmāyi tu ksa.
Unclassified,Dezfuli,Dezfuli,https://dt24.blogfa.com/category/25,عبده ایی یان کی بید؟,عبده این کی بود؟,Who was this Abdu?,عبده ایی یان کی بید؟,abde iyaān ki bid,یه که بی,ye ke bi,عَبدِه، این کیه؟,"abde, in kiya?",عَبدَه اٍن کی با؟,abda en ki bā,ئبده یه کی بی؟,abda ya ki bi?,Abdo mokebo
Unclassified,Dezfuli,Dezfuli,https://pegah1377.blogfa.com/post/22,غلوم پِ اُرِ سیَه اومَّه دخترَ برد قصر شاه پریون.,غلام با ابر سیاه آمد و دختر را به قصر شاه پریان برد.,The slave came with a black cloud and took the girl to the palace of the fairies.,غلوم پِ اُرِ سیَه اومَّه دخترَ برد قصر شاه پریون.,gholom pe or siyah ome dokhtara bord ghasr shāh pariyon,غلوم بی اور سه اومد و دور به قصر شاه پریون برد,gholum bey owar sah umado dowr be qasre shāhe pariyun bord,غُلام سیاه اَبره هَمراه بُما و کیجایه به قَصرِ شاهِ پَریان ببُرده.,gholām siāh abre hamrā boma va kijāye be ghasre shāhe pariyān baberde. ,غُلُم با سیاه اَبری بییٍما وُ دُختٍرین بٍبٍردِش بٍه قَصری شاهی پَرییُنی.,gholom bā siyā abri biyemā vo dokhterin beberdesh be qasri shāhi pariyoni.,غلام وەگەردە ئاۆرە سیه هات و دۆت‌گه برد و قەصرە شای پەریان,gholām wagarde āwre siya hāt wa dotaga berd wa qasre shahe parian,gholum khoze awre siā oma o dotog she qasre showe pariun ba
Unclassified,Dezfuli,Dezfuli,https://hastii2.blogfa.com/post/556,ای وب چَنی قشنگَه,این وب چقدر قشنگه.,This web is so beautiful.,ای وب چَنی قشنگَه,i veb chani ghashanga,ای سایت چق قشنگه,i sāyt cheqa qashangeh,این وب چَندی قشنگه.,in veb chandi ghashange,اٍن وٍبَه چٍقٍدَه قَشٍنگِه.,en veba cheqeda qashenge.,ئی وبه چه‌نی قەشەنگه,i weba chani ghashanga,mo vebe chekade khashon
Unclassified,Dezfuli,Dezfuli,https://chamadaneabi.ir/kalamat-dezfuli/,مَخوم یَقه‌مَه دِروم,می‌خواهم یقه‌ام را پاره کنم (از استیصال/عصبانیت),I want to tear my collar (from despair/anger),مَخوم یَقه‌مَه دِروم,makhom yaghama derom,ایخوم حقمه بدرروم,ikhom haqame bederom,خنوم، می یَقه پاره اَکونُم.,khanom mi yagha pāre akonom.,مٍگَن یَخَه تٍکَه جٍر بَدون.,megan yakha teka jer badun.,تۆوام یەخه بدەڕەم,towam yakha bederrem,māvā gerivuname teka kre
Unclassified,Dezfuli,Dezfuli,Manual,"تَش به كارِت "," گند بخوره به کارت.",May your work be ruined.,"تَش به كارِت ",tash be kāret,تش وکارت بو,tash ve karet bu,گی بوخاره، تی کاره.,gi bokhāre ti kāre.,گَند بَگٍنِه تَه دٍلَه کارین.,gand bagene ta dela kārin.,گو وە ناو کارەگەت,gu wa nāw kāragat,gand vakhra tu kārod
